State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Florida,0.026261261235955055,0.024162375886524822,0.02316802479338843,0.023416610497237568,0.025964044943820225,0.02701386703601108,0.029191479452054796,0.028464311385459535,0.0278275625,0.028474347701149424,0.028882025069637884,0.02813100821917808,0.02690189617486339,0.026027166197183097,0.026022286111111112,0.025707592592592594,0.029212923076923077
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016583521739130434,0.022986242424242423,0.022031144429160935,0.01970937463976945,0.02005421629213483,0.019226491329479768,0.019770380952380952
Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027078975853455454,0.024251660530191458,0.02822293992248062,0.023971549019607845,0.02376297395079595,NA
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034156216216216215,0.02644644722222222,0.012998608695652175,NA,NA,NA,NA,NA
Illinois,0.017104860795454545,0.020865881754609027,0.021777591661151556,0.02092285391304348,0.02063606429780034,0.02453626148409894,0.021143596745027124,0.023436666168224297,0.02166979088689992,0.020628400667779632,0.026312210489014883,0.024866725365543546,0.027684872727272727,0.023803281481481482,0.024025697026022304,0.025771535021097046,0.025014329608938547
Indiana,0.029781718562874253,0.032152730337078654,0.0355057265625,0.02989703370786517,0.030380405594405593,0.032806516304347826,0.024199563218390806,0.031856643059490083,0.028749516304347827,0.02593005649717514,0.029449952380952382,0.0337705597826087,0.035762509803921566,0.028500381592554292,0.027034701265822785,0.02621149172932331,0.026542319587628867
Iowa,NA,NA,NA,NA,NA,NA,0.016324806451612904,0.02893893094629156,0.027269525153374233,0.02615857142857143,0.028708853350189634,0.02803213225499524,0.02934953597122302,0.028334606978879705,0.02664081597222222,0.027443917534722223,0.03060908241758242
Kansas,0.029725577235772356,0.02797798257372654,0.02731575982532751,0.027759985221674877,0.02433055023183926,0.026171215716486902,0.02762679060665362,0.02323153698630137,0.022085515850144094,0.02349633918128655,0.02159838596491228,0.02198442857142857,0.028823919236417035,0.025206116883116882,0.025180039772727272,0.02535690582959641,0.022854857142857142
Kentucky,0.028895888401024514,0.030228298988926337,0.032020808950086056,0.03297152834008097,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015324060975609757,0.02048156880733945,0.02366171243523316,NA
Louisiana,0.02375595081967213,0.022977722222222222,0.021037724238026124,0.02096897777777778,0.022231991780821917,0.025390378723404255,0.022960393861892584,0.022392932394366197,0.021694762237762236,0.02242495290858726,0.025291603399433427,0.02523394214876033,0.024979115492957747,0.02365381111111111,0.023334157099697887,0.02355080827586207,0.026846491228070174
Maine,NA,NA,NA,NA,NA,NA,0.02627869655172414,0.02645249589041096,0.02385837275985663,0.023040313489073098,0.026201762156049756,0.024528900487125957,0.024589704735376045,0.02712493299492386,0.024984126213592233,0.024421514792899408,0.028196734265734266
