State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.065634967741936,9.411745809286899,9.078580206666667,9.524873194630873
Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.658509608938548,11.11658859936407,NA
Arizona,26.487501589874856,22.744723428650136,23.66505389030471,23.1011512341095,20.134377321929332,21.3601092130239,20.834689962545575,19.330199391168424,18.250667084563222,17.156288054842474,15.91671195583239,16.61533600673023,17.83180336735779,15.47952766700611,16.112343223624432,12.704995142294436,15.811195011764706
Arkansas,NA,NA,NA,NA,NA,NA,NA,10.781744733516483,8.991394928961748,9.146337060273973,10.0047488375,9.982133810958905,10.568827552289816,9.791679257534247,8.862050756164384,8.61283287087912,8.661112791208792
California,17.580989015234262,17.760822170226486,16.755127907428335,15.794641777253242,15.151140976660256,13.965664211497435,14.016458760277379,13.07602334249346,12.977357735734126,12.873185457535014,12.247269078098675,12.282851511252472,11.071265311824694,11.761860724790619,10.883953002053628,10.26906151287985,8.101743924363637
Colorado,14.902468989041095,25.783400716510904,19.76931320994475,21.073078467874794,21.645208250728864,24.176581787317073,24.644735138629283,23.835024832137734,19.080972470910336,14.2308469375,16.171137841981132,17.526490973312402,20.32090362903226,14.34269102952381,16.904157374855558,20.039145444870567,23.62382028624535
Connecticut,NA,NA,NA,NA,NA,NA,17.44416646511628,12.619994654275093,10.542381460301508,10.860680024156306,9.739028127340823,8.533361105362182,7.276309031775701,7.411335839067703,7.2374522162471395,8.045103610660487,NA
Country Of Mexico,NA,NA,NA,NA,NA,NA,20.451521242841995,20.372632317857143,20.1116224781491,23.03268838888889,18.591049763231197,22.38738354609929,NA,NA,NA,NA,NA
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.071232976190476,12.468177907526881,10.79212688372093,11.679319452261307,10.075421769230768,13.771055452380953
District Of Columbia,22.725717307692307,24.47431118338109,24.441035802739727,22.64075434903047,20.956403725274726,20.83678835911602,15.96655990958904,15.332143955555555,18.057799236111112,18.302954069060775,17.643917554945055,15.928799664359861,16.273087274492497,11.500348711450382,12.302943370023419,13.233156556732224,12.460649844827586
Florida,12.453038323033708,12.387594238297872,11.313961369146005,10.929812842541436,9.51647252247191,8.64435950969529,8.519962405479452,6.136312015089163,5.2142512625,6.027942123563219,5.672489389972145,5.361869504109589,5.406926177595628,4.545726870422535,4.979451605555555,4.109642247863248,5.492868956043956
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.50065643478261,13.381185286501378,11.583259458046767,9.439669561959654,10.42954338483146,9.673003242774566,11.935326111111111
Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.889730551207327,2.8904910655375553,3.1166944437984494,3.4493033284313723,3.564983055716353,NA
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3374456216216215,9.397004669444444,9.925650260869565,NA,NA,NA,NA,NA
Illinois,26.437457477272726,22.356801789574064,19.853930602250166,20.684056693913043,18.814219123519457,17.89908032862191,17.391594790235082,14.501693262056074,14.085935269324654,13.417118030383973,13.035390209780298,12.11059416719644,11.954034387878789,10.983771384126984,10.547532697026023,8.380404258227848,10.3744316424581
Indiana,15.287580371257485,14.94784354494382,16.3927037109375,14.522778646067415,13.780555342657342,13.230630027173913,13.922752137931035,10.994428518413597,9.288780684782608,10.135623790960452,9.392295469387754,9.906356070652174,9.84046254248366,10.359545698035161,11.333617678481012,13.494140243609023,13.857478082474227
Iowa,NA,NA,NA,NA,NA,NA,8.230118000000001,7.358557680306905,7.458725873619632,6.9967480802005015,7.497582681415929,7.359249986679353,7.57747048471223,6.766695505050505,6.348770536458334,6.067910473958333,5.99489478021978
