State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7503113064516129,1.1865171293532337,1.00942902,0.8351175503355704
Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.951531268156424,6.159010971383148,NA
Arizona,2.3032257374857794,1.6666013479338844,1.873916597229917,1.799774895531781,1.6263508345485138,1.8447992755455491,1.6886411234670202,1.5204083163345057,1.45738063522138,1.1760773072734345,1.0470331247640619,0.7759248839035333,0.9130017448165869,0.7163671771894093,0.9237102094901565,0.584848466272772,0.39592719117647057
Arkansas,NA,NA,NA,NA,NA,NA,NA,3.160494596153846,1.7602098210382513,1.7323654520547944,1.2924943253472223,1.3655325356164383,1.304615005468216,1.2992415363013698,1.1416358157534248,1.1102464903846154,0.663799510989011
California,1.7210038055475712,1.8136710187528546,1.6259311292510017,1.4950334445981877,1.8278402307055168,1.6530337673124604,1.3833036514029904,1.216423382136404,1.0952821892695288,1.0069486883473389,0.7208656165764139,0.7093256436628,0.6005895539638217,0.4755547519821329,0.4919950374640615,0.4586483399001279,0.6012758643636363
Colorado,2.1380578726027397,2.437698018691589,2.246781091160221,1.9633121663920923,1.8985486778425655,1.9304383746341462,2.084553503894081,1.9193284670014348,1.8602282039698836,1.37065658125,1.028090429245283,1.407493759811617,1.336345086876833,1.0601894347619047,0.9424333790154842,1.0342656627516778,1.0044201747211896
Connecticut,NA,NA,NA,NA,NA,NA,3.1960970348837208,1.7516646802973979,1.2492259085427135,1.408544240142096,0.9496234843945068,0.9024359614299153,0.6422347060747664,0.5516750998890122,0.5732451773455377,0.3656384501738123,NA
Country Of Mexico,NA,NA,NA,NA,NA,NA,1.5970209262990456,1.6406719345238094,1.6757802017994858,5.867554925925926,1.9573118300835655,3.5823167754137115,NA,NA,NA,NA,NA
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2262590992063491,1.0000634344086021,0.898067034883721,1.1228957311557788,0.7397505226244344,0.8282271964285715
District Of Columbia,8.137539842032966,6.651348691977077,6.712708690410959,8.323186703601108,6.475044528846154,4.483952994475138,4.525002882191781,5.021016170370371,5.556448202777778,4.5290599875690605,3.3608652692307692,3.5996834619377163,1.6821969205648721,0.9909780053435114,1.1175846030444965,1.2680819417549167,0.9719559310344827
Florida,1.973912143258427,1.1479179319148936,0.6619460275482094,0.6560634558011049,0.6482978623595506,0.5196247479224376,0.39075961643835616,0.6592847105624142,0.55133944765625,0.12143105890804598,0.14779123676880224,0.09644472876712329,0.05960993715846995,-0.025819822535211267,0.1093330875,0.03506682193732194,0.3964081978021978
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1479451739130435,0.8936667575757575,0.4395215220082531,0.32174269452449566,0.35992398174157303,0.2549992528901734,0.2886529523809524
Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9096265303913406,0.8715059756995581,1.2794029796511628,0.9861970571895425,1.0550591360347323,NA
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22107661486486488,0.3232195958333333,0.7152670869565217,NA,NA,NA,NA,NA
Illinois,6.0642694098011365,5.479874905276541,4.178522507279947,5.027722805217391,4.1250069069373945,4.82919829770318,2.712278018987342,1.6630271373831775,1.5833501574450772,1.4401344524207011,2.1081308430191354,2.4854753919262556,1.1132748227272726,0.878828934920635,0.9828916459107807,1.1842742101265822,0.9416912709497207
Indiana,7.3508008413173656,3.3137790280898876,3.51197176953125,3.3911762837078654,4.725999332167832,4.766601108695652,9.933532290229884,3.399183678470255,2.465206429347826,1.5431601214689266,2.9859852891156464,1.3611319782608695,0.8448061470588235,2.1757260548086865,2.4798351316455696,1.2629852293233084,0.39297341237113403
Iowa,NA,NA,NA,NA,NA,NA,0.4614989193548387,0.5532879795396419,0.43700926503067483,0.3247827493734336,0.3863094140328698,0.4967388458610847,0.42232420098920864,0.39924955693296604,0.41638174565972225,0.40115888975694447,0.19128403021978022
Kansas,0.9428150257452574,0.9931302044235925,1.5628587797878977,1.79581686863711,2.0952714289026275,2.211105318181818,3.2913566252446183,4.196402369863014,4.043818097982709,4.652079026315789,5.189308907894737,3.618949335714286,2.808529079295154,2.0433924545454545,1.7583278650568182,1.542131605381166,1.0845895657142857
Kentucky,4.780632958470545,4.064225925132402,2.920047534423408,3.5330672064777326,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4973032987804877,1.4575314816513762,0.5511602487046632,NA
