State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2110068870967742,0.20592147014925374,0.22102668,0.20951413758389262
Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4554438687150838,0.4052212464228935,NA
Arizona,0.7457559050056883,0.6494715399449036,0.7059283905817174,0.6320114373820013,0.5099600302860348,0.6180882324211985,0.5556812651640702,0.5085927811645173,0.4253625616274432,0.422903222092571,0.36516799093997737,0.34342516993830624,0.3425981073896863,0.32089221232179227,0.40526794321049975,0.3556449295913343,0.4682898058823529
Arkansas,NA,NA,NA,NA,NA,NA,NA,0.5890610879120879,0.44343504234972675,0.42328531232876715,0.4546337597222222,0.4471267246575342,0.46736215721120983,0.3844125212328767,0.34699206438356167,0.3060225576923077,0.3220730054945055
California,0.6444877458752515,0.6221486183606029,0.6017906458697215,0.5753787833848826,0.5179471196568555,0.4595350885948221,0.4444205270210961,0.4160350642916858,0.3906930938063447,0.39401494882352944,0.3447467770156438,0.36051700988934626,0.3369246061065922,0.3551291647962032,0.34446319368655753,0.3331314000974362,0.36043597018181817
Colorado,0.6113879547945206,0.6275631869158879,0.4992621215469613,0.5496916886326194,0.6168473294460641,0.6175001887804878,0.5716930319314641,0.5494412539454806,0.40550120328542094,0.35538630625,0.36569644103773585,0.3329829733124019,0.3705979065249267,0.30703681666666666,0.31847267529466144,0.3897590685522531,0.4515239535315985
Connecticut,NA,NA,NA,NA,NA,NA,0.47775703488372095,0.3156575752788104,0.3438912130653266,0.313645865008881,0.27995709675405744,0.22125344355597365,0.21340810654205608,0.2031393884572697,0.20223465160183066,0.21542820741599072,NA
Country Of Mexico,NA,NA,NA,NA,NA,NA,0.89202948621421,0.804534830952381,0.7966067005141388,1.0397330462962964,0.8078017353760446,0.9136374869976359,NA,NA,NA,NA,NA
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24730206547619046,0.26609032903225804,0.23850300775193797,0.25593616582914575,0.3006503438914027,0.2828744226190476
District Of Columbia,1.1756959697802198,1.0754241088825216,1.158794783561644,0.896369944598338,0.6175890453296703,0.8488915138121547,1.1158484082191782,1.1969047348148147,1.2215623333333334,0.8657245718232044,0.8838610824175824,0.6688640432525952,0.5945100485436893,0.34043564580152674,0.35865022716627637,0.27298412556732227,0.2571015431034483
Florida,0.7250718848314607,0.6385253248226951,0.4714328870523416,0.4412717444751381,0.5208142556179776,0.5640615027700832,0.3891846082191781,0.28400619821673523,0.22352113828125,0.33761266091954023,0.39400469498607243,0.4336949301369863,0.382462381147541,0.2974250126760563,0.45756814583333333,0.5141023974358975,0.5736684395604396
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39688919021739133,0.33172545041322316,0.33054373039889956,0.2979980749279539,0.313541029494382,0.3137771011560694,0.31716959523809524
Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31635319900083264,0.38463014248895433,0.4163854408914729,0.33767655269607844,0.3899868415340087,NA
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14160641216216216,0.17964315625,0.27231145652173916,NA,NA,NA,NA,NA
Illinois,0.7028934048295454,0.5917895225683407,0.5906667021839841,0.5127150547826087,0.5777406785109983,0.4566029699646643,0.37133595840867994,0.3265505555140187,0.2754500345809601,0.2656580656093489,0.3471472069454288,0.3402231068022886,0.29495801666666666,0.29204601375661376,0.30002436059479554,0.30254270590717297,0.3093167374301676
Indiana,0.8729743592814371,0.3827131657303371,0.4441462890625,0.4422182191011236,0.5648289265734265,0.42217621739130434,0.6563206781609195,0.44870452124645893,0.41963322282608695,0.23374955084745763,0.16423727210884354,0.056329453804347826,0.4007989411764706,0.26814745915201654,0.23124612151898735,0.24885166766917294,0.24473934536082473
Iowa,NA,NA,NA,NA,NA,NA,0.20720390322580645,0.25428609335038366,0.25565465766871165,0.2408686127819549,0.25027920986093555,0.2067048106565176,0.21538954946043165,0.20139591276400368,0.20326658072916667,0.20816325868055555,0.2096641730769231
Kansas,0.7544122005420054,0.33462490482573726,0.392605149095446,0.315825250410509,0.3813784914992272,0.38388012634822805,0.375922415851272,0.4222136205479452,0.4023550706051873,0.29620934064327487,0.4170265073099415,0.45144234714285714,0.510675077092511,0.43578813474025974,0.2648551690340909,0.2860998019431988,0.25264330285714287
Kentucky,0.17790749103549214,0.13081539046701973,0.12979208950086057,0.10420246356275303,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3517634817073171,0.2613089755351682,0.27079484455958547,NA
Louisiana,0.7566461953551913,0.8257890902777778,0.7157975195936139,0.6619541541666667,0.5618260150684932,0.4706988744680851,0.3716849168797954,0.3816942929577465,0.28327226853146853,0.22138746952908586,0.24725486543909347,0.2214975041322314,0.21868265492957747,0.2040162875,0.26671893504531724,0.2208694027586207,0.23293776754385964
Maine,NA,NA,NA,NA,NA,NA,0.17890318620689655,0.17222769178082192,0.1647016559139785,0.20641309796533536,0.2527011142103279,0.23271899930410578,0.28564076497214486,0.22212504162436547,0.21348468689320388,0.24640128180473372,0.29966314335664335
Maryland,NA,NA,NA,NA,NA,NA,0.3586237300613497,0.3770255637254902,0.3829148061002179,0.46428687304075233,0.3914707924528302,0.3006024233226837,0.24267264970930233,0.22410364645726807,0.19649874433819828,0.21464779221435795,0.24832474626865672
Massachusetts,NA,0.2977262576923077,0.396308289119171,0.6186278013698631,0.19582897777777777,0.2716493982808023,0.45632503888888887,0.3619070580110497,0.17325902191780823,0.28653484626038783,0.28041973305670814,0.28804926923076923,0.2773831311018131,0.2732709398868458,0.27640229813664596,0.273745886996904,0.27212088461538464
Michigan,0.27700124929971986,0.3965302755102041,0.3665076288951841,0.3984530246376812,0.354139806122449,0.3243605889570552,0.3147516278409091,0.229167,NA,NA,NA,NA,NA,NA,NA,NA,NA
